freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
/m/01ry3d,301364,,,,,,18043377,Union Carbide
,,,,,,,18043395,Crest
/m/036xgg,,,,,,,18043401,Gillette
,,,,,,,18043403,Greenpoint
/m/01tbm7,312284,,,,,,18043405,Jascha Heifetz
,,,,,46656,,18043411,Johnson
,,,,,,,18043415,R. W. L.
/m/05kx9k,1653322,,,,,,18043417,Thomas W. Lamb
,,,,,,,18043419,Lykos
,,,,,,,18043421,Richard  H. Mandel
/m/026nvd1,8021871,,,,,,18043427,Park Central Hotel
/m/037zl6,747450,,,,,,18043433,Helena Rubinstein
,,,,,,,18043437,F.H. S.
/m/0dp68,,,,,,,18043445,Steinway and Sons
,,,,,,,18043451,Ullman
,,,,,,,18043463,Westervelt
,,,,,41900,,18043469,Robert Jones
/m/06bpp5,1980907,,,7512,,,18043471,Edward William Godwin
/m/0cbl84,4592943,,,,,,18043475,Walter Shirlaw
/m/06w6tkv,23558341,,,,,,18043483,Rene Boyvin
/m/0b6dnnx,25935671,,,,,,18043489,Francesco Villamena
/m/0kspzy,7512254,,,,,,18043501,Gilles-Marie Oppenord
/m/0fqkpj,6110232,,,,,,18043503,Jean-Baptiste Oudry
/m/02w1wyg,12376266,,,,,,18043519,André Mare
/m/02rv36g,11837797,,,6289,,,18043521,Wolfgang Weingart
/m/06pqc8,2139831,25538073,90018585,5740,75051,,18043523,Ladislav Sutnar
,,,,,,,18043545,Mrs. Smith
/m/0d__g,53421,,,2927,,,18043547,Philip Johnson
/m/01qygl,19629560,,,,,,18043549,Procter & Gamble
/m/08vlyw,3149488,,,,,,18043555,Dorothy Draper
/m/0c3vf3q,27668827,,,,,,18043563,Jean Audran
/m/04_1tk4,20351735,,,,,,18043595,New York Department of Health
/m/03kdl,13682,,,,,,18043603,Herbert Hoover
/m/04s5_s,1313805,,,,,,18043625,Mike Mills
,,,,,,,18043651,Stephen Doyle
/m/09zqzc,3764125,92536323,,7070,,,18043689,Paula Scher
/m/07rd59,2607965,74990610,,,,,18043709,Henry Hitchings
/m/0gx_rgw,32263355,,,,920,,18043723,Barovier & Toso
/m/0fc1vf,5890367,,,1028,,,18043737,Achille Castiglioni
/m/0gg6_80,30947200,,,,37386,,18043745,Dedham Pottery
/m/06_vk9,2271988,47159863,,1616,947,,18043763,Christopher Dresser
/m/027qz17,8951521,,,,,,18043779,F B
/m/08rj30,3101790,,,,,18295393,18043789,Gorham Manufacturing Company
/m/0bmg030,26710638,,,,37162,,18043793,Grueby Faience Company
,,,,,53533,,18043811,Huet
/m/080p37z,24619282,,,,535,,18043821,Jennens & Bettridge
,,,,,10626,,18043833,L.
/m/0hwm2,68360,,,,951,,18043837,Lalique
/m/03czkb3,14261804,,,,,,18043851,Mary Chase Perry
,,,,,,,18043857,Meissen
/m/071rqt,2296421,,,,4759,,18043865,Morris & Co.
/m/08304,33277,,,7061,1835,18296011,18043867,William Morris
,,,,,,,18043871,Oriel
,,,,,,,18043875,Overbeck
/m/03rht6,935960,,,,,,18043879,Pewabic Pottery
/m/02x8kvf,30862869,,,,3482,18295725,18043903,Rookwood Pottery
/m/02x8r49,12870207,,,,,,18043911,Kataro Shirayamadani
/m/0bghzq,4069515,,,,28,,18043915,Royal Doulton
/m/05pcbv5,21888487,,,,770,,18043937,Thomas Webb & Sons
/m/02w2c0h,12384847,,,,2737,,18043943,Matteo Thun
/m/09_41f,3771489,,,,106,,18043969,Wedgwood
/m/028c4_4,9493643,,,,38161,,18043973,Weller Pottery
,,,,,,,18043977,William Morris & Co.
,,,,,,,18043981,Worcester
/m/05sy0rx,22340843,,,,13041,,18043983,Zuber & Cie
/m/03gb7h,843787,,,,61677,,18043993,Bloomingdale's
/m/0gsgl0,6849554,,,6208,,,18044003,Wilhelm Wagenfeld
/m/084_bc,2823584,,,,,,18044009,Vivianna Torun Bülow-Hübe
/m/07lwg1,,,,1196,,,18044019,Joe Colombo
/m/080n505,24775951,,,6129,,,18044027,Paolo Venini
,,,,,,,18044031,Sasaki
/m/03mbfg5,,,,,,,18044043,Robert Crawford Johnson
/m/0843_d,2809986,,,4119,,,18044047,Koloman Moser
,,,,,,,18044063,Degler
/m/0615pm,1853796,,,1968,,,18044083,Kaj Franck
/m/058xw_,1539302,,,4384,,,18044085,George  E. Ohr
/m/03c50dm,13428974,,,,,,18044095,Richard Notkin
/m/0dfkqn,5323081,,,,,,18044099,Mintons Ltd.
,,,,,,,18044103,William Taylor
,,,,,,,18044123,Jørgen Jensen
,,,,,,,18044125,Holdcroft
/m/03lr0g,885576,,,,60764,,18044143,Hans Collaert
/m/0b2_lt,3845590,,,,,,18044155,Viktor Schreckengost
/m/03_mgt,1028472,,,438,,18300267,18044161,Peter Behrens
/m/0c63g3,4507710,,,,,,18044163,Wertheim Department Store
/m/07sbs54,24271218,,,,,,18044177,Charles Baskerville
,,,,,,,18044179,Jean Cros
,,,,,,,18044181,John Wakelin
/m/02rpy30,11716189,,,,,,18044191,Childs Frick
/m/01y3gr,341285,,,,,,18044203,Elsa Peretti
/m/03_z03,1032041,,,,,,18044207,Max Factor
/m/0489tk,1124045,,,,,,18044209,Noritake
,,,,,,,18044211,Imperial Hotel
/m/0h7k5,14998012,,,,74820,,18044223,Air France
/m/0c0cmm,4403153,,,3925,71745,,18044233,Alessandro Mendini
/m/03b_lbg,13260110,,,,,,18044241,Ronald E. Kent
,,,,3171,,,18044253,Archibald Knox
/m/0jr3z,73516,,,5876,,18295219,18044255,Louis Comfort Tiffany
/m/06_vfxx,23848751,,,,,,18044265,Dagobert Peche
/m/0c42hm7,27678671,,,,,,18044267,Gijs Bakker
/m/01kp2v,,,,,,,18044269,Charles Eames
/m/0k2k54l,36260459,,,3766,,,18044291,Enzo Mari
/m/08c28f,2911961,,,4163,,,18044293,Bruno Munari
/m/08y3xy,3190123,,,,31171,,18044305,Paco Rabanne
/m/026lkzp,,,,,,,18044323,Knoll International
/m/09gg8vb,25343777,,,,,,18044325,Jens Risom
/m/0cv752,4920194,,,,,,18044327,Frederick Hurten Rhead
/m/0k2m1zb,36168306,,,,,,18044339,Shreve & Co.
/m/04tkh2,1333837,15842729,,,543,,18044341,Eric Ravilious
,,,,,,,18044345,Wilkinson
/m/04g3zy,,,,,,18296283,18044349,Tiffany Studios
/m/0hwm2,68360,,,,,,18044355,René Lalique
,,,,,,,18044365,Napier
/m/03h_tx,,,,,,,18044369,William Frend de Morgan
/m/07h75p,2485779,,,,,,18044371,Moravian Pottery and Tile Works
/m/02qr8z5,10828342,,,4241,,,18044395,Otto Natzler
/m/08v7hx,3143947,,,,,,18044417,Olaf Skoogfors
